,columns,missing values count
96,Sensor - 97,10
97,Sensor - 98,10
98,Sensor - 99,10
99,Sensor - 100,10
100,Sensor - 101,10
101,Sensor - 102,10
102,Sensor - 103,10
103,Sensor - 104,4
104,Sensor - 105,4
105,Sensor - 106,10
106,Sensor - 107,10
107,Sensor - 108,10
108,Sensor - 109,10
109,Sensor - 110,576
110,Sensor - 111,576
111,Sensor - 112,576
112,Sensor - 113,1114
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,48
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,6
122,Sensor - 123,6
123,Sensor - 124,6
124,Sensor - 125,6
125,Sensor - 126,6
126,Sensor - 127,6
127,Sensor - 128,6
128,Sensor - 129,6
129,Sensor - 130,6
130,Sensor - 131,6
131,Sensor - 132,6
132,Sensor - 133,6
133,Sensor - 134,6
134,Sensor - 135,6
135,Sensor - 136,0
136,Sensor - 137,2
137,Sensor - 138,6
138,Sensor - 139,26
139,Sensor - 140,26
140,Sensor - 141,26
141,Sensor - 142,26
142,Sensor - 143,26
143,Sensor - 144,16
144,Sensor - 145,4
145,Sensor - 146,4
146,Sensor - 147,4
147,Sensor - 148,4
148,Sensor - 149,4
149,Sensor - 150,6
150,Sensor - 151,6
151,Sensor - 152,6
152,Sensor - 153,6
153,Sensor - 154,6
154,Sensor - 155,6
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,1542
158,Sensor - 159,1542
159,Sensor - 160,2
160,Sensor - 161,2
161,Sensor - 162,2
162,Sensor - 163,2
163,Sensor - 164,2
164,Sensor - 165,2
165,Sensor - 166,2
166,Sensor - 167,2
167,Sensor - 168,2
168,Sensor - 169,2
169,Sensor - 170,2
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,28
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,2
191,Sensor - 192,2
192,Sensor - 193,2
193,Sensor - 194,2
194,Sensor - 195,2
195,Sensor - 196,2
196,Sensor - 197,10
197,Sensor - 198,10
198,Sensor - 199,10
199,Sensor - 200,10
200,Sensor - 201,10
201,Sensor - 202,10
202,Sensor - 203,10
203,Sensor - 204,10
204,Sensor - 205,10
205,Sensor - 206,10
206,Sensor - 207,10
207,Sensor - 208,10
208,Sensor - 209,10
209,Sensor - 210,10
210,Sensor - 211,48
211,Sensor - 212,48
212,Sensor - 213,48
213,Sensor - 214,48
214,Sensor - 215,48
215,Sensor - 216,48
216,Sensor - 217,48
217,Sensor - 218,48
218,Sensor - 219,2
219,Sensor - 220,4
220,Sensor - 221,1222
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,102
225,Sensor - 226,102
226,Sensor - 227,10
227,Sensor - 228,4
228,Sensor - 229,4
229,Sensor - 230,10
230,Sensor - 231,10
231,Sensor - 232,10
232,Sensor - 233,10
233,Sensor - 234,10
234,Sensor - 235,10
235,Sensor - 236,10
236,Sensor - 237,10
237,Sensor - 238,10
238,Sensor - 239,4
239,Sensor - 240,4
240,Sensor - 241,10
241,Sensor - 242,10
242,Sensor - 243,10
243,Sensor - 244,10
244,Sensor - 245,576
245,Sensor - 246,576
246,Sensor - 247,576
247,Sensor - 248,1114
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,48
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,6
257,Sensor - 258,6
258,Sensor - 259,6
259,Sensor - 260,6
260,Sensor - 261,6
261,Sensor - 262,6
262,Sensor - 263,6
263,Sensor - 264,6
264,Sensor - 265,6
265,Sensor - 266,6
266,Sensor - 267,6
267,Sensor - 268,6
268,Sensor - 269,6
269,Sensor - 270,6
270,Sensor - 271,0
271,Sensor - 272,2
272,Sensor - 273,6
273,Sensor - 274,26
274,Sensor - 275,26
275,Sensor - 276,26
276,Sensor - 277,26
277,Sensor - 278,26
278,Sensor - 279,16
279,Sensor - 280,4
280,Sensor - 281,4
281,Sensor - 282,4
282,Sensor - 283,4
283,Sensor - 284,4
284,Sensor - 285,6
285,Sensor - 286,6
286,Sensor - 287,6
287,Sensor - 288,6
288,Sensor - 289,6
289,Sensor - 290,6
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,1542
293,Sensor - 294,1542
294,Sensor - 295,2
295,Sensor - 296,2
296,Sensor - 297,2
297,Sensor - 298,2
298,Sensor - 299,2
299,Sensor - 300,2
300,Sensor - 301,2
301,Sensor - 302,2
302,Sensor - 303,2
303,Sensor - 304,2
304,Sensor - 305,2
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,28
314,Sensor - 315,28
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,2
327,Sensor - 328,2
328,Sensor - 329,2
329,Sensor - 330,2
330,Sensor - 331,2
331,Sensor - 332,2
332,Sensor - 333,10
333,Sensor - 334,10
334,Sensor - 335,10
335,Sensor - 336,10
336,Sensor - 337,10
337,Sensor - 338,10
338,Sensor - 339,10
339,Sensor - 340,10
340,Sensor - 341,10
341,Sensor - 342,10
342,Sensor - 343,10
343,Sensor - 344,10
344,Sensor - 345,10
345,Sensor - 346,1060
346,Sensor - 347,1060
347,Sensor - 348,10
348,Sensor - 349,48
349,Sensor - 350,48
350,Sensor - 351,48
351,Sensor - 352,48
352,Sensor - 353,48
353,Sensor - 354,48
354,Sensor - 355,48
355,Sensor - 356,48
356,Sensor - 357,2
357,Sensor - 358,4
358,Sensor - 359,1222
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,102
363,Sensor - 364,102
364,Sensor - 365,10
365,Sensor - 366,4
366,Sensor - 367,4
367,Sensor - 368,10
368,Sensor - 369,10
369,Sensor - 370,10
370,Sensor - 371,10
371,Sensor - 372,10
372,Sensor - 373,10
373,Sensor - 374,10
374,Sensor - 375,10
375,Sensor - 376,10
376,Sensor - 377,4
377,Sensor - 378,4
378,Sensor - 379,10
379,Sensor - 380,10
380,Sensor - 381,10
381,Sensor - 382,10
382,Sensor - 383,576
383,Sensor - 384,576
384,Sensor - 385,576
385,Sensor - 386,1114
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,48
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,6
395,Sensor - 396,6
396,Sensor - 397,6
397,Sensor - 398,6
398,Sensor - 399,6
399,Sensor - 400,6
400,Sensor - 401,6
401,Sensor - 402,6
402,Sensor - 403,6
403,Sensor - 404,6
404,Sensor - 405,6
405,Sensor - 406,6
406,Sensor - 407,6
407,Sensor - 408,6
408,Sensor - 409,0
409,Sensor - 410,2
410,Sensor - 411,6
411,Sensor - 412,26
412,Sensor - 413,26
413,Sensor - 414,26
414,Sensor - 415,26
415,Sensor - 416,26
416,Sensor - 417,16
417,Sensor - 418,4
418,Sensor - 419,4
419,Sensor - 420,4
420,Sensor - 421,4
421,Sensor - 422,4
422,Sensor - 423,6
423,Sensor - 424,6
424,Sensor - 425,6
425,Sensor - 426,6
426,Sensor - 427,6
427,Sensor - 428,6
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,2
431,Sensor - 432,2
432,Sensor - 433,2
433,Sensor - 434,2
434,Sensor - 435,2
435,Sensor - 436,2
436,Sensor - 437,2
437,Sensor - 438,2
438,Sensor - 439,2
439,Sensor - 440,2
440,Sensor - 441,2
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,28
450,Sensor - 451,28
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,2
463,Sensor - 464,2
464,Sensor - 465,2
465,Sensor - 466,2
466,Sensor - 467,2
467,Sensor - 468,2
468,Sensor - 469,10
469,Sensor - 470,10
470,Sensor - 471,10
471,Sensor - 472,10
472,Sensor - 473,10
473,Sensor - 474,10
474,Sensor - 475,10
475,Sensor - 476,10
476,Sensor - 477,10
477,Sensor - 478,10
478,Sensor - 479,10
479,Sensor - 480,10
480,Sensor - 481,10
481,Sensor - 482,10
482,Sensor - 483,48
483,Sensor - 484,48
484,Sensor - 485,48
485,Sensor - 486,48
486,Sensor - 487,48
487,Sensor - 488,48
488,Sensor - 489,48
489,Sensor - 490,48
490,Sensor - 491,2
491,Sensor - 492,4
492,Sensor - 493,1222
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,102
497,Sensor - 498,102
498,Sensor - 499,10
499,Sensor - 500,4
500,Sensor - 501,4
501,Sensor - 502,10
502,Sensor - 503,10
503,Sensor - 504,10
504,Sensor - 505,10
505,Sensor - 506,10
506,Sensor - 507,10
507,Sensor - 508,10
508,Sensor - 509,10
509,Sensor - 510,10
510,Sensor - 511,4
511,Sensor - 512,4
512,Sensor - 513,10
513,Sensor - 514,10
514,Sensor - 515,10
515,Sensor - 516,10
516,Sensor - 517,576
517,Sensor - 518,576
518,Sensor - 519,576
519,Sensor - 520,1114
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,48
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,6
529,Sensor - 530,6
530,Sensor - 531,6
531,Sensor - 532,6
532,Sensor - 533,6
533,Sensor - 534,6
534,Sensor - 535,6
535,Sensor - 536,6
536,Sensor - 537,6
537,Sensor - 538,6
538,Sensor - 539,6
539,Sensor - 540,6
540,Sensor - 541,6
541,Sensor - 542,6
542,Sensor - 543,4
543,Sensor - 544,4
544,Sensor - 545,4
545,Sensor - 546,4
546,Sensor - 547,146
547,Sensor - 548,146
548,Sensor - 549,146
549,Sensor - 550,146
550,Sensor - 551,146
551,Sensor - 552,146
552,Sensor - 553,146
553,Sensor - 554,146
554,Sensor - 555,146
555,Sensor - 556,146
556,Sensor - 557,146
557,Sensor - 558,146
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,30
563,Sensor - 564,30
564,Sensor - 565,30
565,Sensor - 566,30
566,Sensor - 567,30
567,Sensor - 568,30
568,Sensor - 569,30
569,Sensor - 570,30
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,1004
579,Sensor - 580,1004
580,Sensor - 581,1004
581,Sensor - 582,1004
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
